Jour;Mois;JourSemaine;Base;UIOLI;Equi;ReaSePrec;TSP;ReaVeille;TVE;Inconnues
0.199468085;0.636363636;0.666666667;0.682571441;0.809835828;0.417834038;0.878848678;0.643431635;0.716970299;0.726541555;0.699945025
0.200797872;0.636363636;0.833333333;0.742679597;0.686936357;0.400333875;0.829422476;0.694369973;0.699945025;0.619302949;0.716860653
0.20212766;0.636363636;1;0.759798672;0.710345452;0.482243969;0.822212084;0.737265416;0.716860653;0.667560322;0.781203015
0.203457447;0.727272727;0;0.757940784;0.801771932;0.43699217;0.817639548;0.780160858;0.781203015;0.697050938;0.786428631
0.204787234;0.727272727;0.166666667;0.733668381;0.65574984;0.382107411;0.774518907;0.793565684;0.786428631;0.568364611;0.734445819
0.206117021;0.727272727;0.333333333;0.726323;0.65574984;0.531189298;0.733467163;0.772117962;0.734445819;0.565683646;0.73587841
0.207446809;0.727272727;0.5;0.732174863;0.661410999;0.480215967;0.716970299;0.726541555;0.73587841;0.581769437;0.743839107
0.208776596;0.727272727;0.666666667;0.731815544;0.659575646;0.453260594;0.699945025;0.619302949;0.743839107;0.557640751;0.739351674
0.210106383;0.727272727;0.833333333;0.710453419;0.657313197;0.412139325;0.716860653;0.667560322;0.739351674;0.490616622;0.714160657
0.21143617;0.727272727;1;0.683545613;0.679105248;0.386821575;0.781203015;0.697050938;0.714160657;0.536193029;0.690928331
0.212765957;0.727272727;0;0.695516699;0.659010412;0.472180648;0.786428631;0.568364611;0.690928331;0.506702413;0.702694236
0.214095745;0.727272727;0.166666667;0.70316626;0.655178862;0.445136334;0.734445819;0.565683646;0.702694236;0.461126005;0.694770384
0.215425532;0.727272727;0.333333333;0.740592885;0.658865988;0.37669343;0.73587841;0.581769437;0.694770384;0.498659517;0.745153568
0.216755319;0.727272727;0.5;0.762207677;0.658857653;0.388227403;0.743839107;0.557640751;0.745153568;0.563002681;0.762641944
0.218085106;0.727272727;0.666666667;0.788576592;0.658868359;0.339516675;0.739351674;0.490616622;0.762641944;0.608579088;0.789074307
0.219414894;0.727272727;0.833333333;0.780939702;0.654985113;0.376471342;0.714160657;0.536193029;0.789074307;0.627345845;0.758819902
0.220744681;0.727272727;1;0.816358617;0.669095072;0.497674394;0.690928331;0.506702413;0.758819902;0.597855228;0.838447064
0.222074468;0.727272727;0;0.819782939;0.669095072;0.52750615;0.702694236;0.461126005;0.838447064;0.613941019;0.837333387
0.223404255;0.727272727;0.166666667;0.736643958;0.654985113;0.430262369;0.694770384;0.498659517;0.837333387;0.643431635;0.744858123
0.224734043;0.727272727;0.333333333;0.73234735;0.65498511;0.479606126;0.745153568;0.563002681;0.744858123;0.638069705;0.749548461
0.22606383;0.727272727;0.5;0.665982568;0.65498511;0.488491246;0.762641944;0.608579088;0.749548461;0.55227882;0.725227964
0.227393617;0.727272727;0.666666667;0.688625478;0.65498511;0.424911663;0.789074307;0.627345845;0.725227964;0.493297587;0.702642534
0.228723404;0.727272727;0.833333333;0.700888126;0.65498511;0.344689488;0.758819902;0.597855228;0.702642534;0.493297587;0.701556954
0.230053191;0.727272727;1;0.754685931;0.65498511;0.426357609;0.838447064;0.613941019;0.701556954;0.55227882;0.765555577
0.231382979;0.727272727;0;0.755663693;0.65498511;0.486639899;0.837333387;0.643431635;0.765555577;0.651474531;0.76545997
